Date,Adj Close,Close,High,Low,Open,Volume
2015-05-28,70438.578125,81280.0,84000.0,81280.0,84000.0,0
2015-05-29,66729.4609375,77000.0,77000.0,77000.0,77000.0,0
2015-06-01,67440.1015625,77820.0,78000.0,76000.0,78000.0,1
2015-06-02,66902.8046875,77200.0,78480.0,77200.0,78480.0,1
2015-06-03,65464.21875,75540.0,75540.0,75420.0,75420.0,1
2015-06-04,67093.453125,77420.0,77500.0,77420.0,77500.0,0
2015-06-05,63436.3359375,73200.0,76140.0,72740.0,76140.0,2
2015-06-08,63228.359375,72960.0,74500.0,71380.0,73100.0,4
2015-06-09,66140.1796875,76320.0,78100.0,75000.0,75000.0,7
2015-06-10,65013.5703125,75020.0,77500.0,74300.0,76660.0,5
2015-06-11,63107.0234375,72820.0,74950.0,72820.0,74000.0,2
2015-06-12,65862.8515625,76000.0,76800.0,74900.0,74940.0,6
2015-06-15,65932.203125,76080.0,80000.0,75460.0,78040.0,3
2015-06-16,63956.31640625,73800.0,76400.0,73400.0,76400.0,5
2015-06-17,62240.421875,71820.0,73596.0,71040.0,73596.0,32
2015-06-18,57092.70703125,65880.0,70100.0,64800.0,70100.0,37
2015-06-19,56104.7578125,64740.0,67240.0,64680.0,65700.0,21
2015-06-22,51251.70703125,59140.0,63320.0,59038.0,62422.0,33
2015-06-23,51633.01953125,59580.0,61320.0,57820.0,58320.0,33
2015-06-24,54787.50390625,63220.0,63920.0,59280.0,59560.0,61
2015-06-25,56087.4296875,64720.0,66780.0,61500.0,61764.0,63
2015-06-26,57196.69140625,66000.0,69340.0,63200.0,64720.0,41
2015-06-29,63020.35546875,72720.0,72756.0,66720.0,68906.0,68
2015-06-30,54579.5234375,62980.0,69000.0,62360.0,67500.0,116
2015-07-01,56638.59375,65356.0,66820.0,60122.0,60560.0,52
2015-07-02,58028.65234375,66960.0,68100.0,61340.0,63900.0,35
2015-07-06,55636.7890625,64200.0,70300.0,62380.0,70300.0,31
2015-07-07,55012.828125,63480.0,69100.0,63440.0,64060.0,71
2015-07-08,61287.12890625,70720.0,70840.0,65440.0,66240.0,35
2015-07-09,57179.3671875,65980.0,69320.0,65200.0,66620.0,20
2015-07-10,53296.921875,61500.0,65540.0,61380.0,64680.0,27
2015-07-13,49362.4921875,56960.0,59880.0,56100.0,59780.0,56
2015-07-14,45896.015625,52960.0,57200.0,52600.0,56860.0,69
2015-07-15,46259.98828125,53380.0,54000.0,49736.0,51700.0,112
2015-07-16,43608.1484375,50320.0,52736.0,49960.0,51680.0,62
2015-07-17,42741.53515625,49320.0,51900.0,49280.0,50000.0,83
2015-07-20,42810.86328125,49400.0,50800.0,48000.0,48100.0,67
2015-07-21,44821.41015625,51720.0,53760.0,49500.0,49500.0,119
2015-07-22,44336.09765625,51160.0,55600.0,50760.0,55000.0,64
2015-07-23,45618.703125,52640.0,52860.0,49460.0,50840.0,79
2015-07-24,50558.421875,58340.0,58600.0,52140.0,54360.0,132
2015-07-27,52638.30078125,60740.0,63400.0,59620.0,59920.0,117
2015-07-28,48443.87890625,55900.0,61960.0,54980.0,58260.0,104
2015-07-29,51425.0234375,59340.0,61020.0,53760.0,53760.0,125
2015-07-30,51893.0,59880.0,64260.0,58760.0,60040.0,106
2015-07-31,50021.11328125,57720.0,60660.0,55280.0,60114.0,91
2015-08-03,50073.11328125,57780.0,59616.0,55020.0,57540.0,123
2015-08-04,50107.765625,57820.0,58540.0,56000.0,57380.0,72
2015-08-05,49345.1484375,56940.0,57640.0,54720.0,55260.0,82
2015-08-06,56919.37890625,65680.0,66860.0,57140.0,57140.0,163
2015-08-07,61131.140625,70540.0,75188.0,65980.0,65980.0,276
2015-08-10,59432.578125,68580.0,69680.0,65060.0,67100.0,120
2015-08-11,63661.65625,73460.0,75980.0,66400.0,72000.0,131
2015-08-12,61460.46875,70920.0,81500.0,69840.0,76226.0,175
2015-08-13,65550.8828125,75640.0,75640.0,68040.0,70060.0,62
2015-08-14,67440.1015625,77820.0,82040.0,73860.0,75200.0,95
2015-08-17,59727.20703125,68920.0,81220.0,68400.0,80660.0,103
2015-08-18,63696.3359375,73500.0,73600.0,68880.0,70240.0,90
2015-08-19,65966.859375,76120.0,79560.0,73500.0,75980.0,118
2015-08-20,77007.5703125,88860.0,89040.0,76760.0,80000.0,245
2015-08-21,76799.5703125,88620.0,97500.0,80480.0,95380.0,373
2015-08-24,88706.8671875,102360.0,117260.0,87440.0,111100.0,362
2015-08-25,86644.328125,99980.0,99980.0,83160.0,84080.0,273
2015-08-26,72865.1484375,84080.0,102840.0,84000.0,91220.0,255
2015-08-27,67024.1171875,77340.0,83260.0,76004.0,78100.0,220
2015-08-28,62604.375,72240.0,78900.0,72240.0,77700.0,166
2015-08-31,68393.3828125,78920.0,79240.0,70000.0,74140.0,302
2015-09-01,74269.0546875,85700.0,86600.0,79900.0,86080.0,396
2015-09-02,64874.90234375,74860.0,85560.0,74840.0,81100.0,146
2015-09-03,70837.2421875,81740.0,81740.0,72300.0,75240.0,111
2015-09-04,69450.640625,80140.0,86100.0,77120.0,86100.0,179
2015-09-08,60697.83984375,70040.0,77940.0,70000.0,74400.0,135
2015-09-09,65256.23828125,75300.0,75720.0,67174.0,67760.0,128
2015-09-10,59917.87890625,69140.0,76800.0,68740.0,76800.0,113
2015-09-11,57179.3671875,65980.0,71760.0,65820.0,69580.0,116
2015-09-14,57456.68359375,66300.0,69420.0,65000.0,65440.0,95
2015-09-15,55775.44140625,64360.0,67200.0,63492.0,66000.0,92
2015-09-16,57474.0234375,66320.0,68600.0,62400.0,64400.0,86
2015-09-17,51823.67578125,59800.0,67660.0,57660.0,66420.0,198
2015-09-18,52308.9765625,60360.0,64300.0,59600.0,63220.0,143
2015-09-21,60697.83984375,70040.0,72160.0,58400.0,58400.0,441
2015-09-22,64597.60546875,74540.0,78690.0,71300.0,74160.0,350
2015-09-23,65169.55859375,75200.0,78580.0,70640.0,75000.0,208
2015-09-24,67024.1171875,77340.0,84860.0,75940.0,77680.0,281
2015-09-25,80976.6640625,93440.0,98240.0,73200.0,73420.0,663
2015-09-28,98846.2890625,114060.0,119398.0,95480.0,97620.0,1001
2015-09-29,110753.6015625,127800.0,132800.0,103300.0,114020.0,747
2015-09-30,99123.609375,114380.0,126700.0,108200.0,116580.0,600
2015-10-01,97615.703125,112640.0,124560.0,111960.0,113960.0,406
2015-10-02,83160.5390625,95960.0,123280.0,95052.0,121640.0,555
2015-10-05,81097.984375,93580.0,100860.0,86100.0,88280.0,464
2015-10-06,91410.7109375,105480.0,116580.0,94880.0,95080.0,585
2015-10-07,86746.6015625,100098.0,114180.0,94500.0,103980.0,477
2015-10-08,89467.765625,103238.0,113040.0,100540.0,102520.0,425
2015-10-09,84755.1015625,97800.0,107640.0,94000.0,103020.0,501
2015-10-12,87528.2734375,101000.0,102420.0,93820.0,96080.0,236
2015-10-13,98690.296875,113880.0,114040.0,95286.0,104220.0,513
2015-10-14,95431.8203125,110120.0,116660.0,101780.0,109160.0,481
2015-10-15,75447.6328125,87060.0,113000.0,86580.0,113000.0,811
2015-10-16,75932.9453125,87620.0,91920.0,82000.0,86300.0,595
2015-10-19,73870.3984375,85240.0,94400.0,78320.0,88180.0,734
2015-10-20,81323.3046875,93840.0,95400.0,84892.0,85420.0,490
2015-10-21,81895.265625,94500.0,102920.0,88000.0,89840.0,874
2015-10-22,82068.59375,94700.0,101340.0,89186.0,92620.0,459
2015-10-23,75984.9453125,87680.0,93320.0,86180.0,90700.0,480
